author,post,ori_topic,ori_id,new_topic,label,type_idx,new_id,arc_id,text,pos_text,text_s,topic,topic_str,seen?,contains_topic?
Joseph Huben,"Regulation of corporations has been subverted by corporations. States that incorporate corporations are not equipped to regulate corporations that are rich enough to influence elections, are rich enough to muster a legal team that can bankrupt the state. Money from corporations and their principals cannot be permitted in the political process if democracy is to survive.",companies,A376-P,companies,0,1,4650,16621568,"[[""regulation"", ""corporations"", ""subverted"", ""corporations""], [""states"", ""incorporate"", ""corporations"", ""equipped"", ""regulate"", ""corporations"", ""rich"", ""enough"", ""influence"", ""elections"", ""rich"", ""enough"", ""muster"", ""legal"", ""team"", ""bankrupt"", ""state""], [""money"", ""corporations"", ""principals"", ""permitted"", ""political"", ""process"", ""democracy"", ""survive""]]","[[""NN"", ""NNS"", ""VBN"", ""NNS""], [""NNS"", ""JJ"", ""NNS"", ""VBN"", ""VB"", ""NNS"", ""JJ"", ""RB"", ""VB"", ""NNS"", ""JJ"", ""RB"", ""VB"", ""JJ"", ""NN"", ""VB"", ""NN""], [""NN"", ""NNS"", ""NNS"", ""VBN"", ""JJ"", ""NN"", ""NN"", ""VB""]]",regulation corporations subverted corporations. states incorporate corporations equipped regulate corporations rich enough influence elections rich enough muster legal team bankrupt state. money corporations principals permitted political process democracy survive,"[""company""]",company,1,0
Lisa Evers,"Absolutely it's needs to be defined and regulated in its use, as currently the word 'natural' when used on food products is totally confusing and meaningless. Clearly they are trying to imply the item is 'healthy' or possibly 'organic', but when you see food 'manufacturers' like Frito-Lay or Campbell's with products labelled 'natural', that alone should set off alarms that all is not what it seems. ;-)",use of the word,A3681-P,use of the word,0,1,13116,13303812,"[[""absolutely"", ""'s"", ""needs"", ""defined"", ""regulated"", ""use"", ""currently"", ""word"", ""natural"", ""used"", ""food"", ""products"", ""totally"", ""confusing"", ""meaningless""], [""clearly"", ""trying"", ""imply"", ""item"", ""healthy"", ""possibly"", ""organic"", ""see"", ""food"", ""manufacturers"", ""like"", ""frito"", ""lay"", ""campbell"", ""'s"", ""products"", ""labelled"", ""natural"", ""alone"", ""set"", ""alarms"", ""seems""], ["";-)""]]","[[""RB"", ""VBZ"", ""NNS"", ""VBN"", ""VBN"", ""NN"", ""RB"", ""NN"", ""JJ"", ""VBN"", ""NN"", ""NNS"", ""RB"", ""JJ"", ""JJ""], [""RB"", ""VBG"", ""VB"", ""NN"", ""JJ"", ""RB"", ""JJ"", ""VBP"", ""NN"", ""NNS"", ""IN"", ""NNP"", ""NNP"", ""NNP"", ""POS"", ""NNS"", ""VBD"", ""JJ"", ""RB"", ""VB"", ""NNS"", ""VBZ""], ["".""]]",absolutely 's needs defined regulated use currently word natural used food products totally confusing meaningless. clearly trying imply item healthy possibly organic see food manufacturers like frito lay campbell 's products labelled natural alone set alarms seems. ;-),"[""use"", ""word""]",use word,1,0
David Wiles,"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",big banks,A1437-P,big banks,0,1,181,10944523,"[[""..."", ""one"", ""must"", ""ask"", ""much"", ""money"", ""must"", ""make"", ""demonstrate"", ""among"", ""best"", ""managed"", ""companies"", ""planet""], [""must"", ""make"", ""enough"", ""money"", ""insure"", ""never"", ""fail"", ""threaten"", ""stability"", ""worlds"", ""economy""], [""much"", ""money""]]","[["":"", ""PRP"", ""MD"", ""VB"", ""JJ"", ""NN"", ""MD"", ""VB"", ""VB"", ""IN"", ""RBS"", ""VBN"", ""NNS"", ""NN""], [""MD"", ""VB"", ""JJ"", ""NN"", ""VB"", ""RB"", ""VB"", ""VB"", ""NN"", ""NNS"", ""NN""], [""JJ"", ""NN""]]",... one must ask much money must make demonstrate among best managed companies planet. must make enough money insure never fail threaten stability worlds economy. much money,"[""big"", ""bank""]",big bank,1,0
Sonora doc,"The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households (aka, public relations experts) developed stage-set performances for the public to devour. Prior to the Victorian era, those elaborate and lethally expensive weddings, coronations, and funerals - and the fairy tales that went along with them - just didn't exist.",royal couple,A170-P,royal couple,0,1,10830,2850829,"[[""whole"", ""media"", ""mess"", ""surrounding"", ""royals"", ""consequence"", ""promotional"", ""fervor"", ""royal"", ""households"", ""aka"", ""public"", ""relations"", ""experts"", ""developed"", ""stage"", ""set"", ""performances"", ""public"", ""devour""], [""prior"", ""victorian"", ""era"", ""elaborate"", ""lethally"", ""expensive"", ""weddings"", ""coronations"", ""funerals"", ""fairy"", ""tales"", ""went"", ""along"", ""n't"", ""exist""]]","[[""JJ"", ""NNS"", ""NN"", ""VBG"", ""NNS"", ""NN"", ""JJ"", ""NN"", ""JJ"", ""NNS"", ""RB"", ""JJ"", ""NNS"", ""NNS"", ""VBN"", ""NN"", ""VBN"", ""NNS"", ""NN"", ""VB""], [""RB"", ""JJ"", ""NN"", ""JJ"", ""RB"", ""JJ"", ""NNS"", ""NNS"", ""NNS"", ""NN"", ""VBZ"", ""VBD"", ""RP"", ""RB"", ""VB""]]",whole media mess surrounding royals consequence promotional fervor royal households aka public relations experts developed stage set performances public devour. prior victorian era elaborate lethally expensive weddings coronations funerals fairy tales went along n't exist,"[""royal"", ""couple""]",royal couple,1,0
Sonora doc,"The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households (aka, public relations experts) developed stage-set performances for the public to devour. Prior to the Victorian era, those elaborate and lethally expensive weddings, coronations, and funerals - and the fairy tales that went along with them - just didn't exist.",a modern family,A171-P,royal pr,0,3,11034,2850829,"[[""whole"", ""media"", ""mess"", ""surrounding"", ""royals"", ""consequence"", ""promotional"", ""fervor"", ""royal"", ""households"", ""aka"", ""public"", ""relations"", ""experts"", ""developed"", ""stage"", ""set"", ""performances"", ""public"", ""devour""], [""prior"", ""victorian"", ""era"", ""elaborate"", ""lethally"", ""expensive"", ""weddings"", ""coronations"", ""funerals"", ""fairy"", ""tales"", ""went"", ""along"", ""n't"", ""exist""]]","[[""JJ"", ""NNS"", ""NN"", ""VBG"", ""NNS"", ""NN"", ""JJ"", ""NN"", ""JJ"", ""NNS"", ""RB"", ""JJ"", ""NNS"", ""NNS"", ""VBN"", ""NN"", ""VBN"", ""NNS"", ""NN"", ""VB""], [""RB"", ""JJ"", ""NN"", ""JJ"", ""RB"", ""JJ"", ""NNS"", ""NNS"", ""NNS"", ""NN"", ""VBZ"", ""VBD"", ""RP"", ""RB"", ""VB""]]",whole media mess surrounding royals consequence promotional fervor royal households aka public relations experts developed stage set performances public devour. prior victorian era elaborate lethally expensive weddings coronations funerals fairy tales went along n't exist,"[""royal"", ""pr""]",royal pr,1,0
amanda,"Violence is inherent in the sex industry only in the same way that criminality is inherent in business in Russia. All private business in Russia was illegal under communism, so when communism fell, the first and strongest entrants were people from criminal backgrounds who had already been engaging in it illegally. They have not yet lost control; not enough time has passed. Similarly, because prostitution has been illegal in many places, even where it has become legal, there is a tendency for it to initially be dominated by the sometimes violent pimps who prevailed when it was illegal. As time passes, in large areas where it is fully legal, it will become less dominated by the criminal element and less violent (although it will never cease to be unpleasant in other ways).",prostituion,A1060-P,prostituion,1,1,661,6037518,"[[""violence"", ""inherent"", ""sex"", ""industry"", ""way"", ""criminality"", ""inherent"", ""business"", ""russia""], [""private"", ""business"", ""russia"", ""illegal"", ""communism"", ""communism"", ""fell"", ""first"", ""strongest"", ""entrants"", ""people"", ""criminal"", ""backgrounds"", ""already"", ""engaging"", ""illegally""], [""yet"", ""lost"", ""control"", ""enough"", ""time"", ""passed""], [""similarly"", ""prostitution"", ""illegal"", ""many"", ""places"", ""even"", ""become"", ""legal"", ""tendency"", ""initially"", ""dominated"", ""sometimes"", ""violent"", ""pimps"", ""prevailed"", ""illegal""], [""time"", ""passes"", ""large"", ""areas"", ""fully"", ""legal"", ""become"", ""less"", ""dominated"", ""criminal"", ""element"", ""less"", ""violent"", ""although"", ""never"", ""cease"", ""unpleasant"", ""ways""]]","[[""NN"", ""JJ"", ""NN"", ""NN"", ""NN"", ""NN"", ""JJ"", ""NN"", ""NNP""], [""JJ"", ""NN"", ""NNP"", ""JJ"", ""NN"", ""NN"", ""VBD"", ""JJ"", ""JJS"", ""NNS"", ""NNS"", ""JJ"", ""NNS"", ""RB"", ""VBG"", ""RB""], [""RB"", ""VBN"", ""NN"", ""JJ"", ""NN"", ""VBN""], [""RB"", ""NN"", ""JJ"", ""JJ"", ""NNS"", ""RB"", ""VBN"", ""JJ"", ""NN"", ""RB"", ""VBN"", ""RB"", ""JJ"", ""NNS"", ""VBD"", ""JJ""], [""NN"", ""VBZ"", ""JJ"", ""NNS"", ""RB"", ""JJ"", ""VB"", ""RBR"", ""VBN"", ""JJ"", ""NN"", ""RBR"", ""JJ"", ""IN"", ""RB"", ""VB"", ""JJ"", ""NNS""]]",violence inherent sex industry way criminality inherent business russia. private business russia illegal communism communism fell first strongest entrants people criminal backgrounds already engaging illegally. yet lost control enough time passed. similarly prostitution illegal many places even become legal tendency initially dominated sometimes violent pimps prevailed illegal. time passes large areas fully legal become less dominated criminal element less violent although never cease unpleasant ways,"[""prostitution""]",prostitution,1,1
dballantyne,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players. He said, I think correctly, that raising the rim would increase that advantage, not decrease it. Are you advocating raising the rim only in the NBA? Should Division I programs also follow suit. Surely high school players would not want the rim raised, many of them short and land locked. And how many players in the NBA cannot dunk? Nobody would be my guess. You want to neutralize the advantage of taller player? Box out. You want to bring back the mid range jumper? Get rid of the 3 point shot. I disagree with you Mr. Monroe, but I loved that spin move (even though I think you traveled a lot of the time cupping the ball).",rim,A4714-P,rim,0,1,11900,9043990,"[[""red"", ""aurebach"", ""asked"", ""raising"", ""rim"", ""neutralize"", ""putative"", ""advantage"", ""held"", ""taller"", ""players""], [""said"", ""think"", ""correctly"", ""raising"", ""rim"", ""would"", ""increase"", ""advantage"", ""decrease""], [""advocating"", ""raising"", ""rim"", ""nba""], [""division"", ""programs"", ""also"", ""follow"", ""suit""], [""surely"", ""high"", ""school"", ""players"", ""would"", ""want"", ""rim"", ""raised"", ""many"", ""short"", ""land"", ""locked""], [""many"", ""players"", ""nba"", ""dunk""], [""nobody"", ""would"", ""guess""], [""want"", ""neutralize"", ""advantage"", ""taller"", ""player""], [""box""], [""want"", ""bring"", ""back"", ""mid"", ""range"", ""jumper""], [""get"", ""rid"", ""3"", ""point"", ""shot""], [""disagree"", ""mr."", ""monroe"", ""loved"", ""spin"", ""move"", ""even"", ""though"", ""think"", ""traveled"", ""lot"", ""time"", ""cupping"", ""ball""]]","[[""NNP"", ""NNP"", ""VBN"", ""VBG"", ""NN"", ""VB"", ""JJ"", ""NN"", ""VBN"", ""JJR"", ""NNS""], [""VBD"", ""VBP"", ""RB"", ""VBG"", ""NN"", ""MD"", ""VB"", ""NN"", ""VB""], [""VBG"", ""VBG"", ""NN"", ""NNP""], [""NNP"", ""NNS"", ""RB"", ""VBP"", ""NN""], [""RB"", ""JJ"", ""NN"", ""NNS"", ""MD"", ""VB"", ""NN"", ""VBN"", ""JJ"", ""JJ"", ""NN"", ""VBN""], [""JJ"", ""NNS"", ""NNP"", ""VB""], [""NN"", ""MD"", ""NN""], [""VBP"", ""VB"", ""NN"", ""JJR"", ""NN""], [""VB""], [""VBP"", ""VB"", ""RB"", ""JJ"", ""NN"", ""NN""], [""VB"", ""VBN"", ""CD"", ""NN"", ""NN""], [""VBP"", ""NNP"", ""NNP"", ""VBD"", ""NN"", ""NN"", ""RB"", ""IN"", ""VBP"", ""VBD"", ""NN"", ""NN"", ""VBG"", ""NN""]]",red aurebach asked raising rim neutralize putative advantage held taller players. said think correctly raising rim would increase advantage decrease. advocating raising rim nba. division programs also follow suit. surely high school players would want rim raised many short land locked. many players nba dunk. nobody would guess. want neutralize advantage taller player. box. want bring back mid range jumper. get rid 3 point shot. disagree mr. monroe loved spin move even though think traveled lot time cupping ball,"[""rim""]",rim,1,1
dballantyne,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players. He said, I think correctly, that raising the rim would increase that advantage, not decrease it. Are you advocating raising the rim only in the NBA? Should Division I programs also follow suit. Surely high school players would not want the rim raised, many of them short and land locked. And how many players in the NBA cannot dunk? Nobody would be my guess. You want to neutralize the advantage of taller player? Box out. You want to bring back the mid range jumper? Get rid of the 3 point shot. I disagree with you Mr. Monroe, but I loved that spin move (even though I think you traveled a lot of the time cupping the ball).",rim,A4714-P,nba,0,3,11901,9043990,"[[""red"", ""aurebach"", ""asked"", ""raising"", ""rim"", ""neutralize"", ""putative"", ""advantage"", ""held"", ""taller"", ""players""], [""said"", ""think"", ""correctly"", ""raising"", ""rim"", ""would"", ""increase"", ""advantage"", ""decrease""], [""advocating"", ""raising"", ""rim"", ""nba""], [""division"", ""programs"", ""also"", ""follow"", ""suit""], [""surely"", ""high"", ""school"", ""players"", ""would"", ""want"", ""rim"", ""raised"", ""many"", ""short"", ""land"", ""locked""], [""many"", ""players"", ""nba"", ""dunk""], [""nobody"", ""would"", ""guess""], [""want"", ""neutralize"", ""advantage"", ""taller"", ""player""], [""box""], [""want"", ""bring"", ""back"", ""mid"", ""range"", ""jumper""], [""get"", ""rid"", ""3"", ""point"", ""shot""], [""disagree"", ""mr."", ""monroe"", ""loved"", ""spin"", ""move"", ""even"", ""though"", ""think"", ""traveled"", ""lot"", ""time"", ""cupping"", ""ball""]]","[[""NNP"", ""NNP"", ""VBN"", ""VBG"", ""NN"", ""VB"", ""JJ"", ""NN"", ""VBN"", ""JJR"", ""NNS""], [""VBD"", ""VBP"", ""RB"", ""VBG"", ""NN"", ""MD"", ""VB"", ""NN"", ""VB""], [""VBG"", ""VBG"", ""NN"", ""NNP""], [""NNP"", ""NNS"", ""RB"", ""VBP"", ""NN""], [""RB"", ""JJ"", ""NN"", ""NNS"", ""MD"", ""VB"", ""NN"", ""VBN"", ""JJ"", ""JJ"", ""NN"", ""VBN""], [""JJ"", ""NNS"", ""NNP"", ""VB""], [""NN"", ""MD"", ""NN""], [""VBP"", ""VB"", ""NN"", ""JJR"", ""NN""], [""VB""], [""VBP"", ""VB"", ""RB"", ""JJ"", ""NN"", ""NN""], [""VB"", ""VBN"", ""CD"", ""NN"", ""NN""], [""VBP"", ""NNP"", ""NNP"", ""VBD"", ""NN"", ""NN"", ""RB"", ""IN"", ""VBP"", ""VBD"", ""NN"", ""NN"", ""VBG"", ""NN""]]",red aurebach asked raising rim neutralize putative advantage held taller players. said think correctly raising rim would increase advantage decrease. advocating raising rim nba. division programs also follow suit. surely high school players would want rim raised many short land locked. many players nba dunk. nobody would guess. want neutralize advantage taller player. box. want bring back mid range jumper. get rid 3 point shot. disagree mr. monroe loved spin move even though think traveled lot time cupping ball,"[""nba""]",nba,1,1
Kit,"This is a horrible idea. Anyone who has worked on the border, or in Mexico (as I do), knows there are plenty of middle and upper-class Mexicans who come to the U.S. for an education. I think Dr. Lee is really perpetuating stereotypes here. In my opinion, affirmative action should be based on economic class, no matter what the race.",affirmative actions,A657-P,affirmative actions,1,1,14142,11673623,"[[""horrible"", ""idea""], [""anyone"", ""worked"", ""border"", ""mexico"", ""knows"", ""plenty"", ""middle"", ""upper"", ""class"", ""mexicans"", ""come"", ""u.s."", ""education""], [""think"", ""dr."", ""lee"", ""really"", ""perpetuating"", ""stereotypes""], [""opinion"", ""affirmative"", ""action"", ""based"", ""economic"", ""class"", ""matter"", ""race""]]","[[""JJ"", ""NN""], [""NN"", ""VBN"", ""NN"", ""NNP"", ""VBZ"", ""NN"", ""JJ"", ""JJ"", ""NN"", ""NNPS"", ""VBP"", ""NNP"", ""NN""], [""VBP"", ""NNP"", ""NNP"", ""RB"", ""VBG"", ""NNS""], [""NN"", ""JJ"", ""NN"", ""VBN"", ""JJ"", ""NN"", ""RB"", ""NN""]]",horrible idea. anyone worked border mexico knows plenty middle upper class mexicans come u.s. education. think dr. lee really perpetuating stereotypes. opinion affirmative action based economic class matter race,"[""affirmative"", ""action""]",affirmative action,1,1
Kit,"This is a horrible idea. Anyone who has worked on the border, or in Mexico (as I do), knows there are plenty of middle and upper-class Mexicans who come to the U.S. for an education. I think Dr. Lee is really perpetuating stereotypes here. In my opinion, affirmative action should be based on economic class, no matter what the race.",affirmative actions,A657-P,mexican immigrants,1,3,14143,11673623,"[[""horrible"", ""idea""], [""anyone"", ""worked"", ""border"", ""mexico"", ""knows"", ""plenty"", ""middle"", ""upper"", ""class"", ""mexicans"", ""come"", ""u.s."", ""education""], [""think"", ""dr."", ""lee"", ""really"", ""perpetuating"", ""stereotypes""], [""opinion"", ""affirmative"", ""action"", ""based"", ""economic"", ""class"", ""matter"", ""race""]]","[[""JJ"", ""NN""], [""NN"", ""VBN"", ""NN"", ""NNP"", ""VBZ"", ""NN"", ""JJ"", ""JJ"", ""NN"", ""NNPS"", ""VBP"", ""NNP"", ""NN""], [""VBP"", ""NNP"", ""NNP"", ""RB"", ""VBG"", ""NNS""], [""NN"", ""JJ"", ""NN"", ""VBN"", ""JJ"", ""NN"", ""RB"", ""NN""]]",horrible idea. anyone worked border mexico knows plenty middle upper class mexicans come u.s. education. think dr. lee really perpetuating stereotypes. opinion affirmative action based economic class matter race,"[""mexican"", ""immigrant""]",mexican immigrant,1,0
